开放粤语例句词库

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［粤语例句］*［国语释义］

 揸住手噉教佢	手把手地教他

cancer有啲都有得医嘅	有些癌症还是可以治的

check吓啲货	检查一下这些货

cut咗呢个镜头	把这个镜头剪掉

cut短啲头发	把头发剪短些

一世都系好兄弟	一辈子都是好兄弟

一中毒几分钟就瓜直晒	一中了毒，几分钟就完蛋了

一人读一匀	一人读一次

一件好事就畀佢搅埚咗	一件好事就让他弄糟了

一便睇，一便听	一边看，一边听

一系你哋扯先，我仲有嘢做	要么你们先走，我还有事情做

一系你行先喇，我要做埋啲手尾至得	要么你先走吧，我还要做完那些收尾的事

一个人去我唔够胆	一个人去我不敢

一个人去抑或两个人去？	一个人去还是两个人去？

一个人喺屋企煮饭	一个人在家里煮饭

一个人喺屋企，真冇瘾	一个人在家真无聊

一个人拎咁多嘢够你嗍气啦	一个人拿那么多东西，真够戗

一个人挜两个位	一个人霸占两个位子

一个屈尾十走咗	一下子掉头走了

一个屈尾十走咗	一掉头溜掉了

一个换一个唔会蚀底	一个换一个不会吃亏

一个月几多家用？	一个月家庭开支要多少？

一个月度就番嚟	大概一个月就回来

一个月有几多人工？	一个月有多少工资？

一个跛咗脚嘅细路，好辛苦噉样行入条巷仔	一个瘸了腿的小孩子，很辛苦地走进一条小巷

一个面包两份食	一个面包两人一起吃

一两蚊鸡都要注意节约	哪怕一两块钱也要注意节约

一出街就撞啱落雨，真系衰	一上街就刚好碰上下雨，真倒霉

一出门就落大雨，真系当衰	一出门就下大雨，真倒霉

一刀拮入去	一刀刺進去

一到天冷，手就有啲糠	一到冬天，手就有点干燥

一到天时冷个病就发作	一到冷天病就复发

一到过年啲餐馆都好旺	一到过年那些餐馆都生意兴隆

一到过年的餐馆都好旺	一到过年那些餐馆都生意兴隆

一匙羹生粉开两匙羹水	一勺子芡粉加两勺水

一匙羹生粉开两匙羹水	一勺子芡粉加两勺水

一千蚊钱我哋冇得畅	一千块钱我们找不开

一吓唔觉意打烂只杯	一不小心把杯子打破了

一吓唔记得	突然想不起来

一味做，乜都唔理	一个劲儿地干活，别的都不管

一味挂得玩	总是惦记着玩

一味靠吓	只是靠吓唬人

一唔注意就畀人鼠咗	一不注意就给人拿走了

一啲啲小事，使乜咁巴闭呢！	一点点小事，何必那么大惊小怪！

一啲啲就够个啰	一点点就够了

一啲都唔好笑	一点都不好笑

一啲都唔复杂噶	一点也不复杂

一坐亲船就头晕	一坐船就头晕

一埲乜嘢随呀？	一股什么味儿？

一场波踢完，个个都身水身汗	一场球踢完，个个都大汗淋漓的

一多啲嘢做佢就揗鸡噶嘞	事情稍多一点他就手忙脚乱的

一张一蚊	一元一张

一张相都冇影到	一张照片都没有拍到

一张票可以褦两个细蚊仔	一张票可以带两个小孩

一想起嗰件事，我个心就好唔安乐	一想起那件事，我心里就不舒畅

一手拖住仔，一手拎菜篮	一手拖着孩子，一手提着菜篮子

一捶打过去	一拳打过去

一揿佢，水就咇出嚟	一压它，水就吱出来

一拧转头就睇见佢	一回头就看见他

一斤蚀咗二两	一斤亏损了二两

一于扤佢要	一定要他要

一日到黑周身唔得闲	一天到晚没有一点空

一日唔见个心就啰啰挛	一天不见就坐立不安

一日就搅掂晒	只用了一天就全干好了

一日行七堂路	一天走七十里路

一日行几远路？	一天走多远路？

一日食三餐	一天吃三顿饭

一早就话过你噶喇，你唔听之嘛	早就告诉你的，你不听罢了

一有人上楼嚟，张枱就揗揗震	一有人上楼，桌子就颤个不停

一杯薄酒，失礼，失礼	一杯薄酒，不成敬意，不成敬意

一枝公去睇戏冇瘾	一个人去看电影没意思

一次过搬走晒啲杂物	一口气就把这些杂物全搬走

一步一步噉行	一步一步地走

一盒饼干有成五十件	一盒饼干差不多有五十块

一眼睄过去	一眼瞟过去

一睇你揸拍啲姿势就知你系初哥	一看你拿球拍的姿势就知道你是新手

一睇到信号大家就埋手	一看到信号大家就下手

一睇到信号就散水！	一看到信号就分头逃走！

一笔扠咗两个字	一笔涂了两个字

一听讲考唔到大学，佢成个定晒形	听说考不上大学，他一下子就愣住了

一落班佢就急急脚去医院	一下班他就匆匆赶去医院

一落雨啲黄犬就贡晒出嚟	一下雨蚯蚓就都钻了出来

一行一行噉数	一行一行地数

一表扬佢就嚟神	一表扬他就来劲儿

一见佢衰样我就眼冤	一见他那副模样我就讨厌

一见差佬，个贼即刻拧转头走	一见警察，那个劫匪马上转身逃跑

一路睇一路笑	边看边笑

一路行一路谂嘢	一边走一边想东西

一路行一路讲	一边走一边说

一边唞凉一边倾偈	一边乘凉一边聊天

一铺输咗咁多钱真系肉痛！	一次输掉这么多钱真够心疼的！

一阵放工翻屋企先睇	一会儿下班回家再看

一阵讲	一会儿再说

一阵间上堂	一会儿上课

一阵间佢唔认账点算？	待一会儿他不认账怎么办？

一阵间就唔见咗	一会儿就不见了

一阵间就唔记得，真冇耳性！	一下子就忘了，真健忘！

一阵间落堂	一会儿下课

一食完佢就松人	一吃完他就溜之大吉

三九唔识七我点解要畀钱你？	我们互不相识，为什么我要给你钱？

三九唔识七，有乜方法打破沉默？	谁也不认识谁，有什么方法打破沉默？

三个人豆起个钢琴	三个人把钢琴搭走

三几蚊鸡之嘛	三几元钱罢了

三几蚊，湿湿碎啦	三几块钱， 小意思

三步擸埋两步走上二楼	三步并作两步跑上二楼

三百蚊冇人帮亲仲要加价？	三百块没人问津还要加价？

三点前翻唔切	三点之前赶不回来

上咗车唔好塞住系门口，往入便行	上了车不要堵在门口，往里走

上堂做啲咩嘢？	上课做些什么？

上堂唔好倾偈！	上课别聊天！

上几级楼梯就猛透大气	爬几级台阶就一个劲儿地喘气

上几级楼梯就猛透大气	爬几级台阶就一个劲儿地喘气

上昼九点三个字到下昼五点	上午九点十五分到下午五点

上次你输咗唔认数，今次唔好再赖猫呀吓！	上一回你输了不认账，这一次不要再耍赖了！

上次决定咗嘅事有冇跟进？	上次决定的事有没有人接着处理？

上次走堂去打机比老师罚，下次唔再走堂了，见过鬼就怕黑	上次跷课去打电动被老师罚了，下次不再跷课了，一朝被蛇咬，十年怕井绳

上落班时坐车梗系逼人喇！	上下班时坐车当然是很拥挤的啦！

下一个系边个？	下一个是谁？

下个月大业主就嚟收楼喇㖞，你揾到地方搬未呀？	下个月房东就来收回房子了，你另外找到房子准备搬了吗？

下午开会衙？	下午开会吗？

下次你冇咁好彩呀！	下次你不会那么幸运的！

下次有乜嘢笋嘢记住通知我！	下回有什么好东西记着告诉我！

下次请你食饭补数	下回请你吃饭算补情

不如你去喇！	不如你去吧！

不如你试吓噅吓佢，睇佢肯唔肯帮你咯	不如你试着求他，看他肯不肯帮你

不如出嚟迆吓	不如出来打发时间

不如噉样罢啦	不如这样算了

不如噉样罢啦	不如这样算了

不如我哋倾吓点甩身先啦！	不如我们先谈谈怎么脱身！

不如我哋嗌嘢啦	我们叫东西吃好吗

不宜去睇电影仲好	不如去看电影还好

不溜都觉得有问题噶啦	一直都觉得有问题的

不过话时话，如果系都未必系一件坏事	说是那么说，不过如果是的话也未必是一件坏事

中到头奖就发达喇！	能中头奖就发财了！

中咗奖嘅话，我哋两份噶	中奖的话，我们一人一半的呀

乜你企到咁迆噶	你怎么站得这么歪歪扭扭的

乜你个人咁倔，唔肯听人劝噶？	怎么你这人这么倔，不肯听人劝？

乜你咁冇记性噶	你怎么这么健忘的！

乜你咁大个人仲玩埋呢啲小儿科嘅游戏噶	你怎么这么大了还玩这种幼稚的游戏？

乜你咁失魂噶，叫你送啲嘢都送错晒	你怎么这么神不守舍的，叫你送点儿东西也全送错了

乜你咁茂噶？	怎么你那么荒谬的？

乜你咁讲时唛噶？	你怎么那么讲究时髦？

乜你咁轮尽噶，又唔记得带锁匙	怎么你这么粗心大意的，又忘了带钥匙

乜你噉噶！	你怎么能这样呢？

乜你好似细路仔噉？	你怎么像个小孩子那样？

乜你着得咁out噶	你怎么穿得那么过时

乜佢咁烂瞓噶，个闹钟响咗咁耐都唔醒？	他怎么睡得那么沉，闹钟响了这么长时间都不醒？

乜佢讲得咁论尽噶	看他笨嘴拙舌的

乜呢度立立乱噶？	干嘛这里糟糟的？

乜呢次搅得咁大镬呀	这次怎么弄得这么严重啊？

乜咁噶，真系该煨嘞	怎么这样的，倒了血霉了

乜咁差皮噶？	怎么那么差劲的？

乜咁得闲呀？	怎么这么清闲？

乜咁早晨呀？	这么早啊？

乜咁木噶？	为什么那么呆头呆脑的？

乜咁污糟噶？	怎么这么脏的？

乜咁流口水噶，考试得五十分！	怎么这样差劲，考试只得五十分！

乜咁乌龙噶，封信冇贴邮票就攞去寄	怎么这么糊涂，这封信没贴邮票就拿去寄

乜嘢话，你亚妈病咗你都唔去探吓佢？	怎么？你妈病了你都不去探望一下？

乜嘢话，唔该大声啲	什么，请你大声点说

乜嘢话？佢畀老板炒咗？	说什么？他被老板辞了？

乜嘢说话都讲晒咯，佢就系唔听	什么话都说完了，他就是不听

乜嘢风吹到你嚟嘅？	哪阵风把你吹来了？

乜你有咩？	难道你有吗？

乜近排咁多呢味嘢出嚟噶	怎么最近这么多这种事出来了

乜都唔好讲住	先什么都不要说

乜都唔会，真系废嘅	什么都不会，真窝囊

乜都唔会，真系废嘅！	什么都不会，真窝囊！

乜都噅人，太低威喇	什么都求人，太没骨气了

乜都帮唔到手，你真系废	甚么也帮不上忙，你真是窝囊废

乜鬼嘢都唔想要	什么好东西也不想要

九楼咁高佢都够胆死跳落嚟	九层楼那么高，他都敢跳下来

九点钟至开档呀	九点才开始营业

九点钟开铺	九点钟开门

干湿褛点样？	风雨衣怎么样？

事情多罗罗，我点行得开？	事情多多的，我怎么离得开？

事情已经好清楚，冇乜好拗嘅	事情已经很清楚，没什么可争辩的

事关我唔得闲，咪冇嚟到啰	因为我没空，不就来不了喽

事关我唔得闲，咪冇嚟到啰	因为我没空，不就来不了喽

五百蚊都惊惊哋唔够找数	拿五百块钱出来还恐怕不够结账

五点钟就收档	五点钟就收摊儿

五点钟畀我迟得滞喇	五点钟才拿给我太晚了

亚婆行路慢过后生仔	姥姥走路比年轻人慢

亚妈今晚煲咗糖水	妈妈今天晚上做了甜汤

亚爸唔喺度，你要生性啲，听亚妈话	爸爸不在，你要懂事点儿，听妈妈的话

亚爸唔喺度，你要生性啲，听亚妈话	爸爸不在，你要懂事点儿，听妈妈的话

亚爸病咗，你仲激佢，真系唔生性！	爸爸病了，你还惹他生气，真不懂事！

亚爸！亚妈！我哋翻嚟啦！	爸！妈！我们回来了！

亚爷朝朝都喺度饮茶叹报纸	爷爷每天早上都在这里喝茶舒服自在地看报纸

亚爷通常都锡啲孙嘅	爷爷一般都疼爱孙儿的

亚生有乜事？	先生，有什么事？

亚郭叫我帮佢太太揾师傅教车	阿郭叫我替他太太找个师傅教他开车子

人人都做到金睛火眼	大家都忙得不亦乐乎

人人都好嬲嗰啲贼仔	人人都很憎恨那些小偷

人人都有一大抽锁匙	每个人都有一大串钥匙

人人都望住我	大家都看着我

